company_name,company_address,recognition_number,valid_upto,official_website,is_valid_company,E1,E1_reason,E2,E2_reason,verification_note,source_or_evidence
Nuziveedu Seeds Ltd.,"SurveyNo.69, Kandlakoya,Medchal Mandal, Gundlapochampally Village, Medchal Madal, Medchal&Malkajgiri District–500100, (Telangana)",TU/IV-RD/2162,31.03.2028,nuziveeduseeds.com,Yes,Yes,Develops and produces agricultural seeds with proprietary in-house R&D.,Yes,Operational presence and address are in Medchal Telangana India.,Active agricultural seeds company,Corporate Registry
Lee Pharma Ltd.,"Sy. No. 257 & 258/1, Door No. 11-6/56, C-Block, Opp. IDPL factory, MoosapetVillage,BalanagarPost, Hyderabad - 500 037,(Telangana)",TU/IV-RD/4984,31.03.2026,leepharma.com,Yes,Yes,Active pharmaceutical manufacturer with independent in-house product development and R&D.,Yes,HQ and operations are located in Hyderabad India.,Major active pharmaceutical and API manufacturer.,Company Website / DSIR
Kaveri Seed Company Ltd.,"#513-B, 5thFloor, Minerva Complex,S.D.Road,Secunderabad - 500 003, (Telangana)",TU/IV-RD/2201,31.03.2028,kaveriseeds.in,Yes,Yes,Develops proprietary agricultural seeds with independent in-house R&D facilities.,Yes,HQ and primary operations are in Secunderabad India.,Active agricultural seeds company,Corporate Registry / BSE Listing
Suven Life Sciences Ltd.,"Serene Chamber, Road No. 5, Banjara Hills,Hyderabad – 500034, (Telangana)",TU/IV-RD/2218,31.03.2027,suven.com,Yes,Yes,Engaged in proprietary biopharmaceutical R&D and drug discovery with DSIR recognition.,Yes,Primary operational presence is in Hyderabad India.,Active biopharmaceutical company,Corporate Registry / BSE Listing
PrabhatAgriBiotech Ltd.,"Survey No.69,Kandlakoya, Gundlapochampally Village, Medchal Mandal, Medchal-Malkajgiri District- 501 401, Telangana",TU/IV-RD/2248,31.03.2026,prabhatseeds.com,Yes,Yes,Active agricultural biotech producer with proprietary in-house R&D.,Yes,Operations are based in Medchal-Malkajgiri Telangana India.,Active agricultural biotech company,Corporate Registry
VirchowLaboratories Ltd.,"Plot No. 4 to 10,S.V. Co-op. Indl. Estate, IDA,Jeedimetla,Hyderabad-500055 (Telangana)",TU/IV-RD/2347,31.03.2026,virchowlabs.com,Yes,Yes,Active pharmaceutical manufacturer with proprietary in-house R&D facilities.,Yes,Primary operations are based in Hyderabad India.,Active pharmaceutical company,Corporate Registry
IndianImmunologicals Ltd.,"RoadNo.44,Jubilee Hills, Hyderabad - 500 033, Telangana",TU/IV-RD/2348,31.03.2027,indimmune.com,Yes,Yes,Develops and manufactures proprietary vaccines and biotech products with in-house R&D.,Yes,Operations and address are in Hyderabad India.,Active biotechnology and vaccine company,Corporate Registry
BalajiAminesLtd.,"3rdFloor,KPRHouse,S.P. Road, Hyderabad - 500 003, (Telangana)",TU/IV-RD/2366,31.03.2028,balajiamines.com,Yes,Yes,Specialty chemical manufacturer with proprietary in-house R&D.,Yes,Primary operational presence is in Hyderabad India.,Active chemical manufacturing company,Corporate Registry / BSE Listing
AstraMicrowave Products Ltd.,"Astra Towers, Sy. No.12(P), Kothaguda(Post), Kondapur, Hitech City, Hyderabad- 500 084 (Telangana)",TU/IV-RD/2384,31.03.2028,astramwp.com,Yes,Yes,Designs and manufactures proprietary defense and microwave components.,Yes,HQ and operations are located in Hyderabad India.,Active defense and microwave components company,Corporate Registry / BSE Listing
Seedworks International Ltd.,"Survey No. 530A, GowdavellyVillage, District Medchal – 501 401 (Telangana)",TU/IV-RD/2931,31.03.2027,seedworks.com,Yes,Yes,Develops and produces agricultural seeds with proprietary in-house R&D recognized by DSIR.,Yes,Primary operational presence is in Medchal Telangana India.,Active agricultural seeds company,Corporate Registry
Vins Bioproducts Ltd.,"#806, Essjay House,Road No.3, Banjara Hills,Hyderabad - 500 034, Telangana",TU/IV-RD/2947,31.03.2027,vinsbio.in,Yes,Yes,Active biopharmaceutical producer with valid DSIR-recognized in-house R&D and manufacturing.,Yes,Headquarters and operations are located in Hyderabad India.,Active biopharmaceutical company,Corporate Registry
Granules India Ltd.,"2nd Floor, 3rd Block, My Home Hub, Madhapur, Hyderabad, Telangana - 500 081",TU/IV-RD/3026,31.03.2025,granulesindia.com,Yes,Yes,Active pharmaceutical manufacturer with independent in-house R&D and product development facilities.,Yes,Headquarters and operations are in Hyderabad India.,Active pharmaceutical company,Corporate Registry / BSE Listing
Smilax Laboratories Ltd.,"Plot No. 12/A, Phase-III,I.D.A.,Jeedimetla, Hyderabad - 500 055, Telangana",TU/IV-RD/3077,31.03.2026,smilaxlabs.com,Yes,Yes,Manufactures pharmaceutical products with independent proprietary in-house R&D recognized by DSIR.,Yes,Primary operational presence is in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Symed Labs Ltd.,"Plot No. 290, Srivalli’s Corporate, Road No. 06, Kakatiya Hills, Madhapur,Hyderabad - 500 081, (Telangana)",TU/IV-RD/3102,31.03.2028,symedlabs.com,Yes,Yes,Active pharmaceutical producer with clear evidence of independent in-house R&D facilities.,Yes,Operations and headquarters are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Tergene Biotech Ltd.,"(Formerly . Tergene Biotech Pvt. Ltd.) Suit-121 &122, Building 450, GenomeValley,TurkapallyVillage, Shamirpet Mandal, RangaReddy Dist,Hyderabad – 500 078, Telangana",TU/IV-RD/3167,31.03.2025,tergene.com,Yes,Yes,Active biotechnology producer delivering products via proprietary in-house R&D.,Yes,Operational presence is in Genome Valley Hyderabad India.,Active biotechnology company,Corporate Registry
Sigachi Industries Ltd.,"229/1 & 90 Kalyan’s Tulasiram Chambers, Madinaguda, Hyderabad -500 049, Telangana",TU/IV-RD/3236,31.03.2026,sigachi.com,Yes,Yes,Produces pharmaceutical excipients with proprietary in-house R&D recognized by DSIR.,Yes,Headquarters and primary operations are in Hyderabad India.,Active pharmaceutical excipients company,Corporate Registry / BSE Listing
Sai Life Sciences Ltd.,"Plot No. DS - 7, IKPKnowledgePark,TurakapallyVillage,Shameerpet Mandal, Medchal-Malkajgiri Dist. Hyderabad – 500 078 (Telangana)",TU/IV-RD/3419,31.03.2027,sailife.com,Yes,Yes,Pharmaceutical CDMO delivering specialized proprietary in-house manufacturing and R&D services.,Yes,Primary operations are in IKP Knowledge Park Hyderabad India.,Active pharmaceutical CDMO,Corporate Registry
Mahindra Agri Solutions Ltd.,"GMR Complex, 5-225/1/A, FirstFloor, Gundlapochampally, ManikaReddyColony, Kompally,Hyderabad–500 100 (Telangana)",TU/IV-RD/4061,31.03.2026,mahindraagri.com,Yes,Yes,Subsidiary but possesses clear evidence of independent in-house product development and DSIR R&D.,Yes,Operations are located in Kompally Hyderabad India.,Active agricultural solutions company (Mahindra Group),Corporate Registry
Sarvotham Care Ltd,"6-197/1, Jeedimetla (V), Quthbullapur(M), Hyderabad – 500 067,Telangana",TU/IV-RD/4185,31.03.2026,sarvothamcare.com,Yes,Yes,Pharmaceutical CDMO offering proprietary in-house manufacturing and specialized R&D services.,Yes,Primary operational presence is in Jeedimetla Hyderabad India.,Active pharmaceutical CDMO,Corporate Registry
Honour Lab Ltd,"H.No. 8-3-166/7/1, Erragadda Hyderabad – 500 018Telangana",TU/IV-RD/4270,31.03.2026,honourlab.com,Yes,Yes,Pharmaceutical CDMO delivering proprietary in-house manufacturing and specialized R&D services.,Yes,Primary operations are located in Erragadda Hyderabad India.,Active pharmaceutical CDMO,Corporate Registry
SMS Lifesciences India Ltd.,"Plot No. 19-III, Manikantha Towers, Opp.B.V.B.P.School,Road No.71,JubileeHills,Hyderabad - 500 096, (Telangana)",TU/IV-RD/4652,31.03.2026,smslife.in,Yes,Yes,Produces pharmaceutical APIs backed by independent in-house R&D facilities recognized by DSIR.,Yes,Headquarters and operations are located in Jubilee Hills Hyderabad India.,Active pharmaceutical API company,Corporate Registry / BSE Listing
Aurigene Pharmaceutical Services Ltd.,"1-75/1, Sy. No.195&198/2/A,Madeenaguda Village, Serilingampally Mandal, Ranga Reddy District - 500 049 (Telangana)",TU/IV-RD/4692,31.03.2028,aurigeneservices.com,Yes,Yes,Subsidiary CDMO delivering specialized proprietary in-house manufacturing and R&D services recognized by DSIR.,Yes,Operational presence is in Serilingampally Telangana India.,Active pharmaceutical CRO/CDMO (Subsidiary of Dr. Reddy's),Corporate Registry
Mapmygenome India Ltd.,"Royal Demeure, HUDA Techno Enclave, Plot No. 12/2, Sector-1, Madhapur, Hyderabad -500081Telangana",TU/IV-RD/4800,31.03.2025,mapmygenome.in,Yes,Yes,Produces genomics and biotechnology products with proprietary in-house R&D capabilities.,Yes,Primary operational presence is in Madhapur Hyderabad India.,Active genomics and biotechnology company,Corporate Registry
AdvantaEnterprises Ltd.,", #8-2-418, 3rd Floor, Krishnama House, Road No.7,BanjaraHills, Hyderabad-500034 (Telangana)",TU/IV-RD/4853,31.03.2026,advantaseeds.com,Yes,Yes,Develops and produces global agricultural seeds backed by independent in-house R&D.,Yes,Headquarters and operational presence are in Banjara Hills Hyderabad India.,Active global agricultural seeds company,Corporate Registry
Virupaksha Organics Ltd.,"Plot No. B1, B2, IDA, Gandhi Nagar, Kukatpally, Medchal-Malkajgiri, Hyderabad -500 037 (Telangana)",TU/IV-RD/5109,31.03.2028,virupaksha.com,Yes,Yes,Manufactures pharmaceutical and organic products with independent in-house R&D facilities.,Yes,Operational presence is in Kukatpally Hyderabad India.,Active pharmaceutical and organics company,Corporate Registry
